   Wavelength  Flux
   4217.300       1.974280    
   4218.200       1.986267    
   4219.100       1.989376    
   4220.000       1.992317    
   4220.900       1.987463    
   4221.800       1.974997    
   4222.700       1.969070    
   4223.600       1.971581    
   4224.500       1.961977    
   4225.400       1.923961    
   4226.300       1.876022    
   4227.200       1.870463    
   4228.100       1.906948    
   4229.000       1.952005    
   4229.900       1.976289    
   4230.800       1.974921    
   4231.700       1.947520    
   4232.600       1.920575    
   4233.500       1.915480    
   4234.400       1.931326    
   4235.300       1.942773    
   4236.200       1.950024    
   4237.100       1.959266    
   4238.000       1.964260    
   4238.900       1.958286    
   4239.800       1.954655    
   4240.700       1.954017    
   4241.600       1.959903    
   4242.500       1.963288    
   4243.400       1.961756    
   4244.300       1.953830    
   4245.200       1.941121    
   4246.100       1.923256    
   4247.000       1.915514    
   4247.900       1.920374    
   4248.800       1.927336    
   4249.700       1.918547    
   4250.600       1.909838    
   4251.500       1.918947    
   4252.400       1.935305    
   4253.300       1.938535    
   4254.200       1.933117    
   4255.100       1.938943    
   4256.000       1.943439    
   4256.900       1.941207    
   4257.800       1.934581    
   4258.700       1.926409    
   4259.600       1.912476    
   4260.500       1.904144    
   4261.400       1.905551    
   4262.300       1.917871    
   4263.200       1.928193    
   4264.100       1.932939    
   4265.000       1.930727    
   4265.900       1.926388    
   4266.800       1.917532    
   4267.700       1.910830    
   4268.600       1.904160    
   4269.500       1.890348    
   4270.400       1.859959    
   4271.300       1.837349    
   4272.200       1.842288    
   4273.100       1.866335    
   4274.000       1.878130    
   4274.900       1.880450    
   4275.800       1.884763    
   4276.700       1.890066    
   4277.600       1.891827    
   4278.500       1.896262    
   4279.400       1.895298    
   4280.300       1.884122    
   4281.200       1.869902    
   4282.100       1.860972    
   4283.000       1.860234    
   4283.900       1.861886    
   4284.800       1.867681    
   4285.700       1.872736    
   4286.600       1.874377    
   4287.500       1.856249    
   4288.400       1.828432    
   4289.300       1.808526    
   4290.200       1.811438    
   4291.100       1.829916    
   4292.000       1.841115    
   4292.900       1.827355    
   4293.800       1.810795    
   4294.700       1.808167    
   4295.600       1.816352    
   4296.500       1.817933    
   4297.400       1.809426    
   4298.300       1.782191    
   4299.200       1.748613    
   4300.100       1.731686    
   4301.000       1.734756    
   4301.900       1.737336    
   4302.800       1.741680    
   4303.700       1.751571    
   4304.600       1.760673    
   4305.500       1.750360    
   4306.400       1.722358    
   4307.300       1.691235    
   4308.200       1.683024    
   4309.100       1.700500    
   4310.000       1.721951    
   4310.900       1.727111    
   4311.800       1.709119    
   4312.700       1.682895    
   4313.600       1.658310    
